timestamp,ir,red,heart_rate,spo2,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,temp,gsr,cortisol
2025-03-06 09:30:04,2243,1230,60,,-2.88,3.81,8.68,-0.05,-0.01,0.02,25.66,73,14.71
2025-03-06 09:30:11,2219,1183,48,,-2.97,3.59,8.71,-0.05,-0.01,0.01,25.75,15,10.39
2025-03-06 09:30:12,2240,1241,43,,-2.94,3.59,8.68,-0.05,-0.02,0.01,25.71,58,12.7
2025-03-06 09:30:13,2246,1268,54,,-2.89,3.6,8.69,-0.05,-0.01,0.01,25.71,59,12.77
2025-03-06 09:30:14,2222,1275,57,,-2.93,3.58,8.79,-0.05,-0.01,0.01,25.66,62,13.02
2025-03-06 09:30:15,2258,1277,50,,-2.91,3.61,8.68,-0.05,-0.01,0.02,25.66,57,13.48
2025-03-06 09:30:15,2263,1309,61,,-2.92,3.56,8.75,-0.05,-0.02,0.02,25.8,55,13.54
2025-03-06 09:30:16,2229,1272,61,,-2.93,3.64,8.72,-0.05,-0.01,0.01,25.66,63,13.35
2025-03-06 09:30:17,2279,1280,62,,-2.96,3.54,8.73,-0.05,-0.01,0.02,25.75,57,12.82
2025-03-06 09:30:18,2242,1278,57,,-2.98,3.56,8.74,-0.05,-0.01,0.01,25.71,57,12.64
2025-03-06 09:30:19,2289,1273,49,,-2.95,3.56,8.74,-0.05,-0.01,0.01,25.71,58,12.82
2025-03-06 09:30:19,2252,1262,63,,-2.92,3.56,8.79,-0.05,-0.01,0.01,25.71,59,13.32
2025-03-06 09:30:20,2272,1319,60,,-2.94,3.56,8.71,-0.05,-0.01,0.01,25.71,59,12.85
2025-03-06 09:30:21,2264,1271,58,,-2.94,3.61,8.79,-0.05,-0.01,0.02,25.71,58,13.46
2025-03-06 09:30:21,2245,1236,53,,-2.89,3.56,8.76,-0.05,-0.02,0.02,25.8,180,15.6
2025-03-06 09:30:24,2228,1267,38,,-2.92,3.68,8.71,-0.05,-0.01,0.02,25.8,54,12.81
2025-03-06 09:30:24,2272,1264,41,,-2.9,3.66,8.64,-0.06,-0.01,0.02,25.66,50,14.69
2025-03-06 09:30:25,2266,1266,63,,-2.87,3.61,8.75,-0.06,-0.01,0.01,25.75,64,13.16
